Date,Adj Close,Close,High,Low,Open,Volume
2014-12-08 00:00:00+00:00,2277.288086,2987.5,3100,2962.5,3062.5,64048400
2014-12-09 00:00:00+00:00,2258.231201,2962.5,3000,2950,2962.5,43373200
2014-12-10 00:00:00+00:00,2296.344727,3012.5,3037.5,2962.5,2962.5,39428200
2014-12-11 00:00:00+00:00,2277.288086,2987.5,3012.5,2975,2987.5,52932200
2014-12-12 00:00:00+00:00,2286.81665,3000,3062.5,2975,3000,41642800
2014-12-15 00:00:00+00:00,2239.174316,2937.5,3000,2937.5,2962.5,70654200
2014-12-16 00:00:00+00:00,2210.589111,2900,2950,2850,2900,47182600
2014-12-17 00:00:00+00:00,2248.703125,2950,2975,2900,2900,40430400
2014-12-18 00:00:00+00:00,2277.288086,2987.5,3000,2950,3000,58847000
2014-12-19 00:00:00+00:00,2305.873535,3025,3050,2987.5,3012.5,52002600
2014-12-22 00:00:00+00:00,2334.458496,3062.5,3062.5,3037.5,3050,22078400
2014-12-23 00:00:00+00:00,2315.401855,3037.5,3087.5,3037.5,3062.5,26229200
2014-12-24 00:00:00+00:00,2343.986816,3075,3075,3050,3062.5,13075800
2014-12-29 00:00:00+00:00,2324.929932,3050,3087.5,3050,3062.5,9327400
2014-12-30 00:00:00+00:00,2324.929932,3050,3075,3025,3075,19405800
2015-01-02 00:00:00+00:00,2324.929932,3050,3062.5,3025,3025,23401400
2015-01-05 00:00:00+00:00,2296.344727,3012.5,3037.5,3000,3037.5,27649600
2015-01-06 00:00:00+00:00,2296.344727,3012.5,3025,2975,3000,47602800
2015-01-07 00:00:00+00:00,2315.401855,3037.5,3050,2987.5,3000,38775600
2015-01-08 00:00:00+00:00,2315.401855,3037.5,3062.5,3012.5,3050,33511200
2015-01-09 00:00:00+00:00,2343.986816,3075,3125,3037.5,3037.5,59709000
2015-01-12 00:00:00+00:00,2315.401855,3037.5,3112.5,3037.5,3050,39099600
